train_loss,valid_loss,train_acc,valid_acc
0.6985087182042867,0.677248128356412,0.5638,0.568
0.6327968894120546,0.7016162120811641,0.6272,0.564
0.6347890311699259,0.7571387708783149,0.6347,0.5
0.6435748740221374,0.7591440255120396,0.6103,0.52
0.6285366059368244,0.8905689720995724,0.6402,0.524
0.6421442849898246,0.7805279248282313,0.6357,0.532
0.6176413167828694,0.6893178091570735,0.6678,0.576
0.5944407182717696,0.8046165753640234,0.6888,0.53
0.6224204231826589,0.7269350444078445,0.6443,0.49
0.6342357312124223,0.7138060313463211,0.6347,0.55
0.6172050092942082,0.7426552378516644,0.6545,0.514
0.6273619450008496,0.7855897553563118,0.649,0.514
0.5984159439080394,0.7541707527786493,0.679,0.528
0.643457078574039,0.7280562002807855,0.6158,0.534
0.6262001699052752,0.695286580838263,0.6433,0.552
0.6102356512621046,0.7219415586879477,0.6686,0.572
0.6274216913867277,0.7305369842342334,0.6416,0.524
0.6561709800060372,0.7061254230830818,0.6182,0.56
0.6434517119987868,0.6975115837231278,0.6219,0.554
0.6443236509758979,0.6756508860336616,0.6308,0.582
0.6463504877062282,0.6682206145338714,0.6168,0.586
0.6563435934022069,0.6620284864427521,0.6044,0.59
0.6375976950260345,0.6552967166450108,0.6247,0.604
0.6359452735475963,0.6748853562824079,0.6244,0.57
0.6340091727886015,0.6537609976718668,0.6378,0.608
0.6247719729596225,0.6797822901227046,0.643,0.57
0.6421707313765306,0.6730350089750718,0.6257,0.57
0.648094983778386,0.6863121587117202,0.6165,0.588
0.634848200535294,0.6882363091572188,0.6278,0.544
0.6541422963617836,0.6724256931165,0.609,0.56
0.6446598011240828,0.6656050123734167,0.6166,0.592
0.6562131452316651,0.6720307142836973,0.6062,0.576
0.6451325745701324,0.6774404514625203,0.624,0.564
0.646263947320357,0.6774673114750767,0.6113,0.578
0.6506626790821565,0.6735288125121733,0.608,0.59
0.6626791223236883,0.6675639036092907,0.5909,0.604
0.6606335904125125,0.668214062029263,0.5982,0.592
0.6667244865491287,0.6545128688018303,0.599,0.6
0.6583592158725252,0.6570193133219145,0.593,0.608
0.6596256947508314,0.6565168713964522,0.6008,0.592
0.6502899739233079,0.6596392680413555,0.608,0.592
0.671987635149993,0.6538508019142318,0.5744,0.592
0.657756265067216,0.6557184068295173,0.5871,0.596
0.6636629531521263,0.659051755274646,0.5882,0.592
0.6595387939931359,0.6564039526236011,0.5939,0.6
0.6659580720882863,0.6550579012685921,0.5884,0.61
0.6701180198214948,0.6542521885557798,0.5909,0.61
0.6756790806621779,0.6559104011732853,0.5819,0.596
0.6698941476245877,0.65740069217165,0.5884,0.592
0.6641559170026797,0.6568982064618031,0.5845,0.596
