train_loss,valid_loss,train_acc,valid_acc
7.820157380342695,8.190007282719016,0.5145,0.491875
8.268582997202873,8.190007282719016,0.487,0.491875
8.204110616087913,8.190007282719016,0.491,0.491875
7.285379185199737,8.190007282719016,0.548,0.491875
8.075165853857994,8.190007282719016,0.499,0.491875
7.543268709659577,8.190007282719016,0.532,0.491875
7.768922043561935,8.190007282719016,0.518,0.491875
7.897866805791855,8.190007282719016,0.51,0.491875
8.010693472743034,8.190007282719016,0.503,0.491875
7.9542801392674445,8.190007282719016,0.5065,0.491875
8.357232521235943,8.190007282719016,0.4815,0.491875
8.437822997629642,8.190007282719016,0.4765,0.491875
8.115461092054844,8.190007282719016,0.4965,0.491875
8.687653474450112,8.190007282719016,0.461,0.491875
8.631240140974521,8.190007282719016,0.4645,0.491875
8.204110616087913,8.190007282719016,0.491,0.491875
8.389468711793423,8.190007282719016,0.4795,0.491875
8.171874425530433,8.190007282719016,0.493,0.491875
7.785040138840675,8.190007282719016,0.517,0.491875
7.736685853004456,8.190007282719016,0.52,0.491875
7.978457282185555,8.190007282719016,0.505,0.491875
8.558708712220191,8.190007282719016,0.469,0.491875
8.107402044415474,8.190007282719016,0.497,0.491875
8.171874425530433,8.190007282719016,0.493,0.491875
8.357232521235943,8.190007282719016,0.4815,0.491875
8.590944902777672,8.190007282719016,0.467,0.491875
8.115461092054844,8.190007282719016,0.4965,0.491875
7.857571567595005,8.190007282719016,0.5125,0.491875
8.147697282612324,8.190007282719016,0.4945,0.491875
8.71988966500759,8.190007282719016,0.459,0.491875
8.324996330678463,8.190007282719016,0.4835,0.491875
7.664154424250126,8.190007282719016,0.5245,0.491875
8.171874425530433,8.190007282719016,0.493,0.491875
8.018752520382405,8.190007282719016,0.5025,0.491875
8.107402044415474,8.190007282719016,0.497,0.491875
7.680272519528866,8.190007282719016,0.5235,0.491875
7.889807758152485,8.190007282719016,0.5105,0.491875
8.059047758579254,8.190007282719016,0.5,0.491875
7.478796328544616,8.190007282719016,0.536,0.491875
7.857571567595005,8.190007282719016,0.5125,0.491875
7.5029734714627265,8.190007282719016,0.5345,0.491875
8.067106806218623,8.190007282719016,0.4995,0.491875
8.566767759859562,8.190007282719016,0.4685,0.491875
7.720567757725716,8.190007282719016,0.521,0.491875
8.744066807925702,8.190007282719016,0.4575,0.491875
8.413645854711532,8.190007282719016,0.478,0.491875
8.010693472743034,8.190007282719016,0.503,0.491875
7.922043948709964,8.190007282719016,0.5085,0.491875
7.672213471889496,8.190007282719016,0.524,0.491875
7.132257280051708,8.190007282719016,0.5575,0.491875
