train_loss,valid_loss,train_acc,valid_acc
8.164031894668936,8.190007282719016,0.4935,0.491875
8.542590616941451,8.190007282719016,0.47,0.491875
7.656095376610756,8.190007282719016,0.525,0.491875
7.9623391869068145,8.190007282719016,0.506,0.491875
8.341114425957203,8.190007282719016,0.4825,0.491875
7.8011582341194154,8.190007282719016,0.516,0.491875
8.067106806218623,8.190007282719016,0.4995,0.491875
7.938162043988704,8.190007282719016,0.5075,0.491875
8.236346806645393,8.190007282719016,0.489,0.491875
8.244405854284762,8.190007282719016,0.4885,0.491875
8.115461092054844,8.190007282719016,0.4965,0.491875
7.913984901070595,8.190007282719016,0.509,0.491875
8.333055378317834,8.190007282719016,0.483,0.491875
7.752803948283195,8.190007282719016,0.519,0.491875
7.9542801392674445,8.190007282719016,0.5065,0.491875
8.155756330251693,8.190007282719016,0.494,0.491875
9.11478299933672,8.190007282719016,0.4345,0.491875
8.365291568875312,8.190007282719016,0.481,0.491875
8.316937283039094,8.190007282719016,0.484,0.491875
8.196051568448544,8.190007282719016,0.4915,0.491875
8.179933473169804,8.190007282719016,0.4925,0.491875
7.9623391869068145,8.190007282719016,0.506,0.491875
8.050988710939885,8.190007282719016,0.5005,0.491875
8.413645854711532,8.190007282719016,0.478,0.491875
8.502295378744602,8.190007282719016,0.4725,0.491875
8.107402044415474,8.190007282719016,0.497,0.491875
7.897866805791855,8.190007282719016,0.51,0.491875
8.236346806645393,8.190007282719016,0.489,0.491875
7.881748710513115,8.190007282719016,0.511,0.491875
7.922043948709964,8.190007282719016,0.5085,0.491875
7.873689662873745,8.190007282719016,0.5115,0.491875
7.776981091201305,8.190007282719016,0.5175,0.491875
7.785040138840675,8.190007282719016,0.517,0.491875
8.373350616514683,8.190007282719016,0.4805,0.491875
8.196051568448544,8.190007282719016,0.4915,0.491875
7.704449662446976,8.190007282719016,0.522,0.491875
8.252464901924133,8.190007282719016,0.488,0.491875
7.938162043988704,8.190007282719016,0.5075,0.491875
8.236346806645393,8.190007282719016,0.489,0.491875
7.873689662873745,8.190007282719016,0.5115,0.491875
8.115461092054844,8.190007282719016,0.4965,0.491875
7.5029734714627265,8.190007282719016,0.5345,0.491875
8.308878235399723,8.190007282719016,0.4845,0.491875
8.470059188187122,8.190007282719016,0.4745,0.491875
8.091283949136734,8.190007282719016,0.498,0.491875
7.776981091201305,8.190007282719016,0.5175,0.491875
7.325674423396587,8.190007282719016,0.5455,0.491875
8.050988710939885,8.190007282719016,0.5005,0.491875
7.293438232839107,8.190007282719016,0.5475,0.491875
7.664154424250126,8.190007282719016,0.5245,0.491875
