Subject,Session,Age,Group,Handedness,Sex,400H_same,400N_same,400H_self,400N_self,400H_time,400N_time,600H_same,600N_same,600H_self,600N_self,600H_time,600N_time,800H_same,800N_same,800H_self,800N_self,800H_time,800N_time,1000H_same,1000N_same,1000H_self,1000N_self,1000H_time,1000N_time,1200H_same,1200N_same,1200H_self,1200N_self,1200H_time,1200N_time,1400H_same,1400N_same,1400H_self,1400N_self,1400H_time,1400N_time,1600H_same,1600N_same,1600H_self,1600N_self,1600H_time,1600N_time
17,2,21,A,right,female,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0.5,0.5,0,0.25,0.25,0.25,0.5,0.25,0.75,0.25,0.5,0.75,1,0.75,0.5,1,0.75,0.75,1,0.75,0.25,1,1,0.75,0.5,0.75,1,1,0.75,1
22,1,22,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0.25,0,0.75,0.5,0.75,0.5,0.75,0.5,1,1,0.75,0.5,0.75,0.75,1,0.75,0.75,0.25,1,0.75
22,2,22,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0.5,0,0.25,0,0.5,0,0,0.5,0.5,0.25,0,0.25,0.75,0.5,0.75,0.5,0.5,0.25,0.75,0
26,1,20,A,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.75,0.25,0.75,1,0.75,1,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1
26,2,20,A,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,1,0.5,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,22,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0.5,0.25,0.75,0.25,0.75,0.75,1,0.25,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,22,A,right,male,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0.25,0.25,0.5,0.25,1,0.5,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1,24,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0.5,0.5,0.5,0.75,0.25,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1
28,2,24,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,1,0.75,1,0.75,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1
33,1,27,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.5,0.25,0,0.75,0,0.75,1,0.5,1,0.75,1,0.75,1,0.75,0.75,0.75,1,0.75,0.75,0.5,0.75,1,1
33,2,27,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,1,1,0.75,0.75,0.5,0.75,0.75,1,1,1,1,1,1,0.75
37,1,22,A,right,male,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0.5,0.5,0.25,0,0.75,0.75,1,0.5,1,0.75,1,1,0.75,1,0.75,1,1,1,1,0.5,1,1,1
37,2,22,A,right,male,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.5,1,0.5,0.75,1,1,0.75,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,23,A,right,male,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0.25,0.5,1,1,1,0.75,1,0.5,1,1,1,1,0.75,1,1,1,1,1,0.75,0.75,0.75,1,1,1,0.75,1,1
43,2,23,A,right,male,0,0,0.25,0,0.25,0,0,0.5,0.25,0.25,0,0.25,0.75,1,0.75,0.75,1,0.5,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,22,A,right,female,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0.25,0.25,0,0.75,0.25,0.5,0,0.25,0,0.25,0.75,1,0.5,1,0,0.75,0.75,1,1,1,1,1,0.75
44,2,22,A,right,female,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.5,0,0.25,0.25,1,0,0.75,0.5,1,0.75,0.5,0.5,1,0.75,1,0.5,1,0.75,1,0.75,1,1,1,1,1,1,0.75,0.75
51,1,22,A,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.5,0.25,1,1,0.5,0.75,0.5,0.75,1,1,0.25,0.25,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1
51,2,22,A,right,female,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.5,0.75,0.25,0.25,1,0.5,0.75,0.75,0.5,0.5,1,1,1,0.75,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1
54,1,20,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0.25,0.5,0,0.5,0.75,0.5,1,0.25,0.5,0.75,0.5,0.5,0.75,1,0.75,1,0.75,0.75,1,1,0.75,0.5,1,1
54,2,20,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.75,1,0.5,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1
55,1,25,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.5,0.25,0.25,0.75,0.25,0.75,0.75,0.75,0.5,1,1,1,1,1,1,1,1
55,2,25,A,right,male,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.75,0.5,0.25,0.25,0,0.25,0.75,1,0.75,0.75,1,0.75,1,0.75,1,0.75,1,1,0.75,1,0.75,0.5,1,1
58,1,20,A,right,female,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,1,0.75,1,0.5,0.75,1,1,1,1,0.75,1,0.75,0.75,1,1,1,1,1,1,1,1,0.75,1,1
58,2,20,A,right,female,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0.5,0.5,0.5,0.5,0.25,0.5,0.25,1,0.75,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1
59,1,23,A,right,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0.25,0.75,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.75,0,0.5,1,1,0.5,1,1,0.75,0.75
59,2,23,A,right,male,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0.75,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0.75,1,0.5,0.75,0.75,0.5,0.75,0.75,1,1,0.75,1,1,1,0.75,1,1,0.75,1
60,1,25,A,right,male,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.5,0,0.25,0,1,0,1,0.75,0.25,0.25,0.75,0.5,0.75,0.75,1,0.75,1,0.75,1,0.5,1,0.25,1,1,1,1,1,1
60,2,25,A,right,male,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,1,0.5,0.75,1,0.5,0.5,0.75,0.75,1,1,1,0.5,1,0.75,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
